link_id,i_node,j_node,oneway,link_modes,link_label,data_source,source_date,geom_wkt
11055850,335,330,TRUE,"{""bus""}",Hermannin rantatie,Digiroad,2021-04-07,"LINESTRING (387907 6674330, 387900.4 6674307, 387888.8 6674261, 387886.7 6674252)"
11055852,325,339,TRUE,"{""bus""}",Hermannin rantatie,Digiroad,2021-04-07,"LINESTRING (387856.2 6674070, 387868.9 6674121, 387888.4 6674202, 387894.6 6674226, 387896.1 6674232, 387898.9 6674237, 387902.3 6674243, 387921.4 6674325)"
11055855,331,336,TRUE,"{""bus""}",Hermannin rantatie,Digiroad,2021-04-07,"LINESTRING (387894.3 6674587, 387900.2 6674566, 387911.2 6674523, 387919.8 6674488, 387924.9 6674457, 387926.3 6674430, 387925.2 6674410, 387921.9 6674388, 387915.1 6674361, 387911.3 6674346)"
11055859,340,334,TRUE,"{""bus""}",Hermannin rantatie,Digiroad,2021-04-07,"LINESTRING (387926 6674342, 387926.1 6674342, 387934.4 6674381, 387939.1 6674409, 387938.5 6674441, 387933.1 6674480, 387922.9 6674527, 387919.2 6674542, 387911.7 6674569, 387904.8 6674594)"
11055870,339,340,TRUE,"{""bus""}",Hermannin rantatie,Digiroad,2021-04-07,"LINESTRING (387921.4 6674325, 387926 6674342)"
11055872,336,335,TRUE,"{""bus""}",Hermannin rantatie,Digiroad,2021-04-07,"LINESTRING (387911.3 6674346, 387907 6674330)"
11055946,297,310,FALSE,"{""bus""}",Koksikatu,Digiroad,2021-04-07,"LINESTRING (387675.5 6673641, 387676.6 6673643, 387679.9 6673648, 387688.8 6673658, 387703.9 6673674, 387727.2 6673697, 387745.9 6673717, 387756.6 6673730, 387763.8 6673744, 387768.8 6673758, 387776 6673783, 387782.8 6673814, 387791.8 6673847, 387799.7 6673878, 387805.4 6673901)"
11055958,296,297,FALSE,"{""bus""}",Koksikatu,Digiroad,2021-04-07,"LINESTRING (387674.7 6673631, 387674.5 6673635, 387675.1 6673640, 387675.5 6673641)"
11055960,299,296,FALSE,"{""bus""}",Parrulaituri,Digiroad,2021-04-07,"LINESTRING (387715.8 6673599, 387703.8 6673607, 387687.9 6673617, 387680.8 6673623, 387677 6673627, 387675.9 6673629, 387674.7 6673631)"
11055975,347,333,FALSE,"{""bus""}",Leonkatu,Digiroad,2021-04-07,"LINESTRING (387967.5 6673802, 387896.5 6673845)"
11055992,333,312,FALSE,"{""bus""}",Leonkatu,Digiroad,2021-04-07,"LINESTRING (387896.5 6673845, 387812.8 6673896)"
11056001,310,307,FALSE,"{""bus""}",Leonkatu,Digiroad,2021-04-07,"LINESTRING (387805.4 6673901, 387797.8 6673906)"
11056002,312,310,FALSE,"{""bus""}",Leonkatu,Digiroad,2021-04-07,"LINESTRING (387812.8 6673896, 387805.4 6673901)"
11065926,314,338,TRUE,"{""bus""}",Itäväylä,Digiroad,2021-04-07,"LINESTRING (387815.7 6673972, 387855.7 6673962, 387917.6 6673946)"
11065928,353,315,TRUE,"{""bus""}",Itäväylä,Digiroad,2021-04-07,"LINESTRING (388046.5 6673925, 388022.6 6673931, 388017.8 6673932, 387967.4 6673945, 387926.1 6673956, 387859.2 6673974, 387818.9 6673984)"
11065934,316,311,TRUE,"{""bus""}",Hermannin rantatie,Digiroad,2021-04-07,"LINESTRING (387820.9 6673997, 387810.8 6673958)"
11065940,308,314,TRUE,"{""bus""}",Itäväylä,Digiroad,2021-04-07,"LINESTRING (387801.6 6673976, 387815.7 6673972)"
11065941,315,309,TRUE,"{""bus""}",Itäväylä,Digiroad,2021-04-07,"LINESTRING (387818.9 6673984, 387804.6 6673988)"
12116717,301,304,FALSE,"{""bus""}",Vanha talvitie,Digiroad,2021-04-07,"LINESTRING (387729.6 6674303, 387771.4 6674380)"
12116719,319,300,FALSE,"{""bus""}",Työpajankatu,Digiroad,2021-04-07,"LINESTRING (387828.5 6674081, 387773.4 6674111, 387722.4 6674138)"
12116723,295,301,FALSE,"{""bus""}",Vanha talvitie,Digiroad,2021-04-07,"LINESTRING (387658.4 6674172, 387729.6 6674303)"
12116724,300,295,FALSE,"{""bus""}",Työpajankatu,Digiroad,2021-04-07,"LINESTRING (387722.4 6674138, 387658.4 6674172)"
