node_id,geom_wkt
1,POINT (381161.3 6677697)
2,POINT (381200.9 6677730)
3,POINT (381219.2 6677710)
4,POINT (381368.5 6677729)
5,POINT (381467.4 6677773)
6,POINT (381487.6 6677801)
7,POINT (381506.4 6677817)
8,POINT (381515.4 6677824)
9,POINT (381550.8 6677848)
10,POINT (381555.5 6677859)
11,POINT (381584.6 6677817)
12,POINT (381632 6677780)
13,POINT (381638 6677788)
14,POINT (381640.9 6677773)
15,POINT (381646.8 6677781)
16,POINT (381650.4 6677765)
17,POINT (381656 6677774)
18,POINT (381793.4 6677652)
19,POINT (381800.1 6677660)
20,POINT (381808.2 6677639)
21,POINT (381815.4 6677648)
22,POINT (381893.2 6677573)
23,POINT (381900.4 6677581)
24,POINT (381910 6677560)
25,POINT (381916.7 6677568)
26,POINT (381968.2 6677514)
27,POINT (381974.2 6677522)
28,POINT (382287.7 6677278)
29,POINT (382290.6 6677287)
30,POINT (382406.8 6677202)
31,POINT (382412.2 6677210)
32,POINT (382468.7 6677162)
33,POINT (382475 6677171)
34,POINT (382618.8 6677104)
35,POINT (382619.7 6677115)
36,POINT (382632.9 6677103)
37,POINT (382633.2 6677114)
38,POINT (382704.7 6677079)
39,POINT (382710.4 6677058)
40,POINT (382724.8 6677136)
41,POINT (382732.1 6677030)
42,POINT (382750.8 6677154)
43,POINT (382779.8 6677020)
44,POINT (382799.1 6677150)
45,POINT (382816.7 6677139)
46,POINT (382824.6 6677000)
47,POINT (382827.8 6677048)
48,POINT (382838.2 6677012)
49,POINT (382838.3 6677102)
50,POINT (382920.5 6676829)
51,POINT (382961.7 6676741)
52,POINT (382970.6 6676745)
53,POINT (383060.6 6676558)
54,POINT (383068.4 6676566)
55,POINT (383160.8 6676521)
56,POINT (383165.2 6676535)
57,POINT (383177.3 6676516)
58,POINT (383181 6676530)
59,POINT (383340.3 6676468)
60,POINT (383344.4 6676485)
61,POINT (383353.7 6676466)
62,POINT (383361.2 6676480)
63,POINT (383364.1 6676464)
64,POINT (383368 6676478)
65,POINT (383551.6 6676416)
66,POINT (383554.4 6676450)
67,POINT (383564.6 6676415)
68,POINT (383567 6676446)
69,POINT (383580.1 6676424)
70,POINT (383580.8 6676440)
71,POINT (383590.6 6676424)
72,POINT (383591.5 6676437)
73,POINT (383699.1 6676433)
74,POINT (383699.3 6676420)
75,POINT (383799.1 6676436)
76,POINT (383799.4 6676418)
77,POINT (383827 6676442)
78,POINT (383842.6 6676415)
79,POINT (384047.9 6676463)
80,POINT (384049.8 6676437)
81,POINT (384136.8 6676456)
82,POINT (384137.2 6676471)
83,POINT (384244.8 6676492)
84,POINT (384251.8 6676477)
85,POINT (384280.7 6676497)
86,POINT (384323.1 6676485)
87,POINT (384425 6676479)
88,POINT (384434.2 6676478)
89,POINT (384437.5 6676505)
90,POINT (384438.2 6676287)
91,POINT (384446.2 6676506)
92,POINT (384483.1 6676410)
93,POINT (384490.2 6676420)
94,POINT (384490.5 6676404)
95,POINT (384493.8 6676428)
96,POINT (384495.4 6676445)
97,POINT (384497.3 6676408)
98,POINT (384501.3 6676539)
99,POINT (384509.3 6676430)
100,POINT (384515.4 6676416)
101,POINT (384515.6 6676556)
102,POINT (384524.2 6676415)
103,POINT (384565.4 6676560)
104,POINT (384637.1 6676055)
105,POINT (384646.8 6675902)
106,POINT (384665.5 6676458)
107,POINT (384670.4 6676384)
108,POINT (384674.1 6676149)
109,POINT (384674.9 6676403)
110,POINT (384688.1 6675833)
111,POINT (384736.3 6675751)
112,POINT (384742.3 6675741)
113,POINT (384841.3 6675762)
114,POINT (384842.2 6675772)
115,POINT (384927.6 6675790)
116,POINT (384929.8 6675779)
117,POINT (385010.6 6675806)
118,POINT (385012.5 6675796)
119,POINT (385020.2 6675808)
120,POINT (385022 6675798)
121,POINT (385033.2 6675818)
122,POINT (385035.8 6675792)
123,POINT (385087.1 6675527)
124,POINT (385090.7 6675509)
125,POINT (385104.1 6675441)
126,POINT (385118.7 6675372)
127,POINT (385120.9 6675362)
128,POINT (385123 6675352)
129,POINT (385125.4 6675340)
130,POINT (385137.5 6675279)
131,POINT (385150.8 6675217)
132,POINT (385154.9 6675198)
133,POINT (385156 6675171)
134,POINT (385166.6 6675173)
