stop_id,stop_radius_m,stop_mode,stop_code,stop_name,stop_place,parent_stop_id,source_date,geom_text
1100109,20,bus,H2552,Itäväylä,,,2020-09-02,POINT (388045.1 6673900)
1100110,20,bus,H2553,Itäväylä,,,2020-09-02,POINT (387987.5 6673959)
1100118,20,bus,H3003,Työpajakatu,,,2020-10-13,POINT (387604.7 6674199)
1100119,20,bus,H3000,Tynnyrintekijänk. 2,,,2020-09-02,POINT (387494.2 6674213)
1100120,20,bus,H3001,Tynnyrintekijänk. 1,,,2020-09-02,POINT (387498.1 6674195)
1100128,20,bus,H2562,Junonkatu,,,2020-09-02,POINT (387983.7 6673617)
1100131,20,bus,H2565,Hermannin rantatie,1KA,,2020-09-02,POINT (387835 6673972)
1100132,20,bus,H2564,Hermannin rantatie,1KA,,2020-09-02,POINT (387797.8 6673924)
1100140,20,bus,H2568,Aallonhalkoja,1SOMPA,,2020-09-02,POINT (387816.5379138494 6673084)
1100141,20,bus,H2569,Aallonhalkoja,,,2020-09-02,POINT (387922.9 6673424)
1100142,20,bus,H2570,Aallonhalkoja,,,2020-09-02,POINT (387919.2 6673360)
1100143,20,bus,H2571,Koksikatu,,,2020-09-02,POINT (387689.4 6673668)
1100159,20,bus,H2551,Junatie,,,2020-09-02,POINT (387386.1 6674164)
1100160,20,bus,H2550,Junatie,,,2020-09-02,POINT (387407.2 6674147)
1122110,20,bus,H0654,Aleksis Kiven katu,,,2020-09-02,POINT (386257.8208746781 6674423)
1122126,20,bus,H2132,Aleksis Kiven katu,,,2020-09-02,POINT (385826.6 6674820)
1150111,20,bus,H1385,Paciuksenkatu 17,,,2020-09-02,POINT (383269.4 6674825)
1150112,20,bus,H1384,Paciuksenkatu,,,2020-09-02,POINT (383311.2 6674744)
1150116,20,bus,H1381,Tukholmankatu,1TUKHO,,2020-09-02,POINT (383903.6 6674563)
1150118,20,bus,H1380,Tukholmankatu,,,2020-09-02,POINT (384002.1 6674535)
1150133,20,bus,H1379,Tukholmankatu,,,2020-09-02,POINT (384219.4 6674547)
1150134,20,bus,H1378,Tukholmankatu,1TTP,,2020-09-02,POINT (384251.4 6674507)
1160118,20,bus,H2084,Hakamäentie,1RU,,2020-09-02,POINT (383649.4 6676410)
1171104,20,bus,H2116,Ilmalankatu,,,2020-09-02,POINT (384456 6676392)
1171105,20,bus,H2117,Ilmalankatu,,,2020-09-02,POINT (384468 6676390)
1171121,20,bus,H2088,Ilmalantori,1ILAT,,2020-09-02,POINT (384634.9 6676162)
1171122,20,bus,H2073,Nordenskiöldinkatu,,,2020-09-02,POINT (384973.3 6674540)
1171126,20,bus,H2091,Radiokatu,,,2020-09-02,POINT (384721.9 6675789)
1171127,20,bus,H2090,Radiokatu,,,2020-09-02,POINT (384703.7 6675791)
1171130,20,bus,H2095,Radiokatu 5,,,2020-09-02,POINT (384973.7 6675804)
1171152,20,bus,H2107,Pasilankatu,,,2020-09-02,POINT (385182.1 6675110)
1171153,20,bus,H2106,Pasilankatu,,,2020-09-02,POINT (385171.4 6675087)
1171156,20,bus,H2099,Pasilankatu,,,2020-09-02,POINT (385126.4 6675333)
1171158,20,bus,H2096,Pasilankatu,,,2020-09-28,POINT (385112.5 6675403)
1171180,20,bus,H2087,Ilmalantori,1ILAT,,2020-09-02,POINT (384599 6676202)
1173103,20,bus,H2165,Asemapäällikönk. 9,,,2020-09-02,POINT (385640 6675310)
1173112,20,bus,H0662,Ratamestarinkatu,,,2020-09-02,POINT (385811 6675247)
1173113,20,bus,H0661,Kumpulantie,,,2020-09-02,POINT (385891.3 6675095)
1174128,20,bus,H2100,Pasilansilta,1PSL,1000004,2020-09-02,POINT (385481.5 6675246)
1174147,20,bus,H2101,Pasilansilta,1PSL,1000004,2020-09-02,POINT (385446.1 6675266)
1180121,20,bus,H2072,Nordenskiöldinkatu,,,2020-09-02,POINT (384868.3 6674519)
1210114,20,bus,H3520,Vanha talvitie,,,2020-10-13,POINT (387834 6674509)
1210117,20,bus,H3002,Työpajakatu,,,2020-10-13,POINT (387604.4 6674205)
1220107,20,bus,H0653,Aleksis Kiven k. 11,,,2020-09-02,POINT (386429.1 6674314)
1220109,20,bus,H0655,Aleksis Kiven katu,,,2020-09-02,POINT (386233 6674468)
1220112,20,bus,H2177,Teollisuuskatu 3,,,2020-09-02,POINT (386665.1 6674427)
1220113,20,bus,H2178,Teollisuuskatu,,,2020-09-02,POINT (386569 6674461)
1220114,20,bus,H2173,Teollisuuskatu 25,1KON,,2020-09-02,POINT (386140.6 6674869)
1220115,20,bus,H2176,Teollisuuskatu,,,2020-09-02,POINT (386294 6674700)
1220117,20,bus,H2174,Teollisuuskatu,1KON,,2020-09-02,POINT (386033.8 6674934)
1220118,20,bus,H2159,Aleksis Kiven katu,1JUNAT,,2020-09-02,POINT (386905.3 6674262)
1220119,20,bus,H2179,Junatie,1JUNAT,,2020-09-02,POINT (387048.8 6674274)
